Year,Heat_content_u100m,Freshwater_content_u100m,June_sea_ice_extent_BS
1970,-8.0302e+07,2.6177,NaN
1971,-2.8755e+08,2.3211,NaN
1972,-1.1036e+08,2.1613,NaN
1973,1.0385e+08,1.7941,NaN
1974,-1.447e+08,2.2158,NaN
1975,-1.2638e+08,1.9079,NaN
1976,-2.9351e+08,2.1485,NaN
1977,-2.8036e+08,2.0603,NaN
1978,-3.6145e+08,2.9992,NaN
1979,-2.302e+08,2.6734,7.0655e+05
1980,-2.0876e+08,2.3438,5.1275e+05
1981,-1.919e+08,2.6753,5.1771e+05
1982,-3.6022e+08,2.3583,6.3772e+05
1983,5.4097e+07,2.2762,3.7511e+05
1984,6.9702e+06,2.2768,3.6428e+05
1985,-1.4214e+08,2.0724,4.6532e+05
1986,-2.9551e+08,2.0489,5.0924e+05
1987,-3.2365e+08,2.0561,5.2619e+05
1988,-2.622e+08,2.629,4.7509e+05
1989,-2.6493e+08,3.3032,4.6655e+05
1990,9.1601e+07,3.4381,2.6903e+05
1991,-1.8639e+08,2.8831,4.2729e+05
1992,-1.3124e+08,3.2491,2.6426e+05
1993,-2.5138e+08,3.0929,4.8143e+05
1994,-1.0705e+08,2.6785,4.4196e+05
1995,-4.9432e+07,2.3854,3.1161e+05
1996,-2.5861e+08,2.9674,4.6073e+05
1997,-1.5074e+08,2.6231,4.6241e+05
1998,-2.5155e+08,2.8287,6.7789e+05
1999,-2.5436e+07,2.209,6.2064e+05
2000,-1.8634e+08,2.3019,3.6049e+05
2001,6.3613e+07,2.071,4.0634e+05
2002,-1.6172e+08,2.1458,4.7445e+05
2003,-3.7222e+08,2.9912,6.9858e+05
2004,-5.8329e+07,2.9631,4.2565e+05
2005,-5.8413e+07,2.2133,4.1732e+05
2006,3.196e+08,1.7242,2.3672e+05
2007,2.366e+08,1.8033,3.4761e+05
2008,4.2372e+07,1.9059,4.4245e+05
2009,1.8816e+07,2.0328,2.783e+05
2010,1.661e+08,1.7568,1.6198e+05
2011,1.7631e+08,2.1207,2.4319e+05
2012,3.937e+08,1.7707,49852
2013,5.3801e+08,1.4921,1.5411e+05
2014,5.9589e+07,2.017,1.8687e+05
2015,2.5687e+08,1.4429,2.4133e+05
2016,6.3742e+08,1.2757,54463
2017,1.1746e+08,2.0279,2.794e+05
2018,3.905e+08,1.5438,1.4889e+05
2019,NaN,NaN,2.873e+05
